date,year,month,mean_rad,median_rad,std_rad,min_rad,max_rad,valid_pixels,total_pixels,valid_pixel_ratio,mean_rad_smooth,cleaned
2022-12-01,2022,12,15.530704,9.345,15.790415,1.08,106.07,6162,6241,0.9873,16.583088,0
2023-01-01,2023,1,16.69235,10.16,16.633909,1.2,100.470001,6162,6241,0.9873,15.592919,0
2023-02-01,2023,2,14.555703,9.46,13.776111,1.2,92.339996,6162,6241,0.9873,15.372664,0
2023-03-01,2023,3,14.869939,9.315001,14.22456,1.46,101.07,6162,6241,0.9873,15.394238,0
2023-04-01,2023,4,16.757071,11.059999,15.439937,1.5,103.690002,6162,6241,0.9873,16.029604,0
2023-05-01,2023,5,16.461803,10.345,15.93453,1.33,96.769997,6162,6241,0.9873,15.805369,0
2023-06-01,2023,6,14.197232,7.085,16.981104,0.0,107.190002,6162,6241,0.9873,15.622962,0
2023-07-01,2023,7,16.209852,7.84,18.910059,0.9,150.860001,6162,6241,0.9873,15.020354,0
2023-08-01,2023,8,14.653979,6.81,18.007135,0.0,124.279999,6162,6241,0.9873,14.661442,0
2023-09-01,2023,9,13.120496,7.05,14.223037,0.88,123.830002,6162,6241,0.9873,15.926097,0
2023-10-01,2023,10,20.003817,12.065001,19.707962,1.56,115.919998,6162,6241,0.9873,18.124986,0
2023-11-01,2023,11,21.250645,12.405,21.339331,1.5,137.979996,6162,6241,0.9873,19.441085,0
2023-12-01,2023,12,17.068792,10.184999,17.47526,1.14,120.900002,6162,6241,0.9873,18.05208,0
2024-01-01,2024,1,15.836802,9.56,16.123768,1.19,105.080002,6162,6241,0.9873,16.919834,0
2024-02-01,2024,2,17.853909,11.005,17.519861,1.44,119.599998,6162,6241,0.9873,17.164956,0
2024-03-01,2024,3,17.804157,10.8,17.636747,1.32,101.870003,6162,6241,0.9873,17.499242,0
2024-04-01,2024,4,16.839661,11.49,14.809225,1.61,94.279999,6162,6241,0.9873,17.038787,0
2024-05-01,2024,5,16.472544,11.075,14.695715,1.57,89.18,6162,6241,0.9873,16.750687,0
2024-06-01,2024,6,16.939857,11.05,15.834973,1.35,97.18,6162,6241,0.9873,13.023237,0
2024-07-01,2024,7,5.657311,0.0,11.751555,0.0,116.510002,6162,6241,0.9873,11.976598,0
2024-08-01,2024,8,13.332626,6.61,15.593364,0.0,107.879997,6162,6241,0.9873,11.511561,0
2024-09-01,2024,9,15.544746,6.89,19.309069,0.0,133.380005,6162,6241,0.9873,18.245595,0
2024-10-01,2024,10,25.859413,15.505,25.549198,2.0,160.990005,6162,6241,0.9873,21.132672,0
2024-11-01,2024,11,21.993858,13.434999,21.386225,1.71,124.690002,6162,6241,0.9873,22.108516,0
2024-12-01,2024,12,18.472277,11.27,18.69718,1.44,148.429993,6162,6241,0.9873,19.396262,0
2025-01-01,2025,1,17.722652,11.295,17.403591,1.16,131.970001,6162,6241,0.9873,18.057679,0
2025-02-01,2025,2,17.978109,11.93,16.527473,1.54,94.190002,6162,6241,0.9873,17.595808,0
2025-03-01,2025,3,17.086664,11.215,15.955286,1.5,94.669998,6162,6241,0.9873,17.321519,0
2025-04-01,2025,4,16.899784,11.49,15.039092,1.73,84.089996,6162,6241,0.9873,17.705459,0
2025-05-01,2025,5,19.129929,12.17,18.50189,1.42,116.269997,6162,6241,0.9873,17.218986,0
2025-06-01,2025,6,15.627245,10.25,14.890122,1.34,93.760002,6162,6241,0.9873,13.083497,0
2025-07-01,2025,7,4.493316,0.0,12.551457,0.0,118.139999,6162,6241,0.9873,11.923122,0
2025-08-01,2025,8,15.648804,7.85,18.062609,0.0,153.660004,6162,6241,0.9873,15.319813,0
2025-09-01,2025,9,25.817318,14.87,28.177206,1.34,247.970001,6162,6241,0.9873,22.857599,0
2025-10-01,2025,10,27.106676,16.994999,25.904781,1.9,195.639999,6162,6241,0.9873,23.401965,0
2025-11-01,2025,11,17.281902,10.97,17.146286,1.19,154.979996,6162,6241,0.9873,20.609721,0
2025-12-01,2025,12,17.440586,11.135,17.632206,1.13,139.039993,6162,6241,0.9873,17.361244,0
